name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G000.04+45.13,229.190512,-1.017222,4.10731,6.75319,3.962411,0.39329,16981.76142857143,20.289265959301556,6.26126747504046e+23,7.822538099999999e+43,2.3663765990021098e-55,2.6588501112383255e-05,7.976550331835305e-06,2.6588501106117682e-11
PSZ2 G000.13+78.04,203.5586828,20.2559905,2.056201,9.25669,5.122391,0.351061,21953.104285714286,13.130692280479755,4.0521316377560526e+23,6.98260329e+43,7.79273087045228e-55,8.75587738253065e-05,2.6267632080464677e-05,8.755877360154892e-11
PSZ2 G000.40-41.86,316.0844846,-41.3541688,2.427383,9.70428,5.297053,0.32035,22701.655714285713,16.029573097418034,4.9467262578632053e+23,6.3717615e+43,3.908668354593845e-55,4.391762196172859e-05,1.3175286580047934e-05,4.3917621933493114e-11
PSZ2 G000.77-35.69,307.9728437,-40.5987254,2.343365,6.58179,6.333562,0.58988,27143.83714285714,18.502793302529334,5.709962013160553e+23,1.1732713199999998e+44,4.679740194275188e-55,5.258135049747402e-05,1.577440513470452e-05,5.2581350449015064e-11
PSZ2 G002.04-22.15,291.3596104,-36.5179436,5.020757,5.12563,,,1000.0,1.4604790098758822,4.507038224476972e+22,7.85233449053004e+44,6.368659242494862e-51,0.715579690167962,0.1842491378267543,6.141637927558478e-07
PSZ2 G002.08-68.28,349.6324313,-36.332559,5.427269,4.7504,2.835297,0.370542,12151.272857142858,19.183561467808442,5.9200470689656853e+23,7.37008038e+43,2.637665327806336e-55,2.9636689076475685e-05,8.891006720339615e-06,2.963668906779872e-11
PSZ2 G002.42+69.64,210.9933174,15.6884267,2.428572,4.62169,3.510401,0.465839,15044.575714285715,10.628134579921907,3.2798423313639005e+23,9.26553771e+43,1.950000275990637e-54,0.00021910115460568955,6.573034532990487e-05,2.191011510996829e-10
PSZ2 G002.77-56.16,334.6594732,-38.8794056,2.279605,9.19606,4.411132,0.29866,18904.85142857143,12.536000093744128,3.8686096289294385e+23,5.9403474e+43,7.618510384831244e-55,8.560124027900273e-05,2.5680372020975892e-05,8.560124006991964e-11
PSZ2 G002.82+39.23,235.0151759,-3.2851353,2.428775,8.07308,5.736017,0.475538,24582.93,17.367889432157696,5.3597306787638654e+23,9.458450819999999e+43,4.5615669484593915e-55,5.1253561218644845e-05,1.5376068352129515e-05,5.1253561173765054e-11
PSZ2 G002.88-22.45,292.0147682,-35.8760934,7.238675,4.80061,,,1000.0,2.105645203863342,6.498021099122274e+22,7.1174192741497455e+44,1.9262033944609968e-51,0.21642734769224684,0.0639330821414669,2.1311027380488966e-07
PSZ2 G003.21-76.04,358.3512149,-33.2932444,5.274178,4.78953,,,1000.0,1.5341961906041581,4.734529444204432e+22,7.092792564903677e+44,4.9626053411190274e-51,0.5575961057437109,0.15185749946665547,5.061916648888516e-07
