name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,mass_error_low,mass_error_high,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G000.04+45.13,229.190512,-1.017222,4.10731,6.75319,3.962411,0.39329,0.370242,,16970.0133328034,20.275229709849135,6.256935888459443e+23,7.822538099999999e+43,2.3712946274031708e-55,2.3712946274031708e-49,7.1138838822095125e-50,2.3712946274031708e-55
PSZ2 G000.13+78.04,203.5586828,20.2559905,2.056201,9.25669,5.122391,0.351061,0.322839,,21937.9169818154,13.12160838002217,4.049328346074842e+23,6.98260329e+43,7.80892646322431e-55,7.80892646322431e-49,2.342677938967293e-49,7.80892646322431e-55
PSZ2 G000.40-41.86,316.0844846,-41.3541688,2.427383,9.70428,5.297053,0.32035,0.344108,,22685.950557518197,16.01848373188542,4.943304079659841e+23,6.3717615e+43,3.9167917200743524e-55,3.9167917200743524e-49,1.1750375160223057e-49,3.9167917200743524e-55
PSZ2 G000.77-35.69,307.9728437,-40.5987254,2.343365,6.58179,6.333562,0.58988,0.61133,,27125.0588553628,18.489992946770688,5.7060118233734346e+23,1.1732713199999998e+44,4.689466074422386e-55,4.689466074422386e-49,1.4068398223267158e-49,4.689466074422386e-55
PSZ2 G002.04-22.15,291.3596104,-36.5179436,5.020757,5.12563,,,,,1000.0,1.4604790098758822,4.507038224476972e+22,7.85233449053004e+44,6.368659242494862e-51,6.368659242494862e-45,1.9105977727484584e-45,6.368659242494862e-51
PSZ2 G002.08-68.28,349.6324313,-36.332559,5.427269,4.7504,2.835297,0.370542,0.463434,,12142.8665255718,19.1702901520946,5.915951540936394e+23,7.37008038e+43,2.6431471741870494e-55,2.6431471741870495e-49,7.929441522561148e-50,2.6431471741870494e-55
PSZ2 G002.42+69.64,210.9933174,15.6884267,2.428572,4.62169,3.510401,0.465839,0.484462,,15034.167776509397,10.620781965565284,3.2775733145734466e+23,9.26553771e+43,1.9540529516059402e-54,1.9540529516059404e-48,5.862158854817821e-49,1.9540529516059402e-54
PSZ2 G002.77-56.16,334.6594732,-38.8794056,2.279605,9.19606,4.411132,0.29866,0.303283,,18891.772926320802,12.527327605305942,3.865933298997414e+23,5.9403474e+43,7.634343896057722e-55,7.634343896057722e-49,2.2903031688173165e-49,7.634343896057722e-55
PSZ2 G002.82+39.23,235.0151759,-3.2851353,2.428775,8.07308,5.736017,0.475538,0.476516,,24565.923365139803,17.355874210462602,5.356022781348759e+23,9.458450819999999e+43,4.571047229753298e-55,4.571047229753298e-49,1.3713141689259894e-49,4.571047229753298e-55
PSZ2 G002.88-22.45,292.0147682,-35.8760934,7.238675,4.80061,,,,,1000.0,2.105645203863342,6.498021099122274e+22,7.1174192741497455e+44,1.9262033944609968e-51,1.9262033944609968e-45,5.77861018338299e-46,1.9262033944609968e-51
PSZ2 G003.21-76.04,358.3512149,-33.2932444,5.274178,4.78953,,,,,1000.0,1.5341961906041581,4.734529444204432e+22,7.092792564903677e+44,4.9626053411190274e-51,4.962605341119028e-45,1.4887816023357084e-45,4.9626053411190274e-51
PSZ2 G003.91-42.03,316.4675077,-38.7531602,2.428906,9.33304,4.716204,0.321887,0.370266,,20198.3198512776,14.270923237747805,4.404006911168973e+23,6.402332429999999e+43,5.565666637500211e-55,5.565666637500211e-49,1.6696999912500632e-49,5.565666637500211e-55
