ell,Cl,err_Cl,binned
2,4.538320170552086e+22,9.076640341104173e+20,False
3,3.2440135589958796e+22,6.48802711799176e+20,False
4,2.604750651092275e+22,5.20950130218455e+20,False
5,2.216910998930744e+22,4.433821997861488e+20,False
6,1.9530431160452687e+22,3.9060862320905375e+20,False
7,1.7599574794353557e+22,3.5199149588707115e+20,False
8,1.6113881655685344e+22,3.2227763311370686e+20,False
9,1.4928040952495958e+22,2.9856081904991915e+20,False
10,1.395478159035854e+22,2.7909563180717077e+20,False
11,1.3138325244262413e+22,2.6276650488524826e+20,False
12,1.2441239190306785e+22,2.488247838061357e+20,False
13,1.1837395658710446e+22,2.3674791317420894e+20,False
14,1.130795861771268e+22,2.2615917235425362e+20,False
15,1.083897650456399e+22,2.167795300912798e+20,False
16,1.0419875563407936e+22,2.083975112681587e+20,False
17,1.0042482309878635e+22,2.008496461975727e+20,False
18,9.700369421847994e+21,1.940073884369599e+20,False
19,9.388406176729392e+21,1.8776812353458785e+20,False
20,9.102442146107058e+21,1.8204884292214116e+20,False
21,8.839079996013949e+21,1.76781599920279e+20,False
22,8.595509260379577e+21,1.7191018520759157e+20,False
23,8.369382704442328e+21,1.6738765408884657e+20,False
24,8.158722991736217e+21,1.6317445983472435e+20,False
25,7.961851274894463e+21,1.5923702549788928e+20,False
26,7.777331889246195e+21,1.555466377849239e+20,False
27,7.603929037700518e+21,1.5207858075401037e+20,False
28,7.440572518395647e+21,1.4881145036791294e+20,False
29,7.286330350949837e+21,1.4572660701899673e+20,False
30,7.140386721973978e+21,3.5701933609869895e+20,False
31,7.002024072704424e+21,3.5010120363522123e+20,False
32,6.870608441731733e+21,3.4353042208658666e+20,False
33,6.745577387588943e+21,3.372788693794472e+20,False
34,6.626429972298295e+21,3.313214986149148e+20,False
35,6.512718403578885e+21,3.256359201789443e+20,False
36,6.404041021232957e+21,3.202020510616479e+20,False
37,6.300036379964867e+21,3.150018189982433e+20,False
38,6.200378232036863e+21,3.100189116018432e+20,False
39,6.104771252684326e+21,3.052385626342163e+20,False
40,6.012947381975765e+21,3.006473690987883e+20,False
41,5.924662680920337e+21,2.962331340460169e+20,False
42,5.8396946186604e+21,2.9198473093302003e+20,False
43,5.757839722706001e+21,2.8789198613530008e+20,False
44,5.678911536249618e+21,2.839455768124809e+20,False
45,5.602738836309014e+21,2.8013694181545073e+20,False
46,5.529164074291792e+21,2.7645820371458962e+20,False
47,5.458042006947559e+21,2.7290210034737794e+20,False
48,5.389238490875257e+21,2.6946192454376286e+20,False
49,5.322629418018635e+21,2.6613147090093176e+20,False
50,5.258099773096859e+21,2.6290498865484294e+20,False
51,5.195542796824219e+21,2.5977713984121094e+20,False
52,5.134859241187815e+21,2.5674296205939075e+20,False
53,5.075956705066198e+21,2.5379783525330993e+20,False
54,5.018749040157736e+21,2.509374520078868e+20,False
55,4.963155818604116e+21,2.481577909302058e+20,False
56,4.909101854888603e+21,2.4545509274443016e+20,False
57,4.856516775598705e+21,2.4282583877993523e+20,False
58,4.805334631500408e+21,2.4026673157502042e+20,False
59,4.755493547100686e+21,2.377746773550343e+20,False
60,4.706935403498133e+21,2.3534677017490666e+20,False
61,4.6596055508550654e+21,2.3298027754275327e+20,False
62,4.613452547282423e+21,2.3067262736412115e+20,False
