lens_id,survey,ra_deg,dec_deg,z_lens,z_source,einstein_radius_arcsec,lens_mass_Msun,velocity_dispersion_km_s,lens_type,reference
SDSSJ0037-0942,SLACS,9.25,-9.71,0.196,0.632,1.18,230000000000.0,218.0,confirmed,Koopmans+2006
SDSSJ0252+0039,SLACS,43.01,0.66,0.28,0.982,1.03,180000000000.0,203.0,confirmed,Koopmans+2006
SDSSJ0330-0020,SLACS,52.52,-0.34,0.351,1.071,1.02,210000000000.0,235.0,confirmed,Koopmans+2006
SDSSJ0728+3835,SLACS,112.02,38.59,0.206,0.688,1.08,190000000000.0,211.0,confirmed,Koopmans+2006
SDSSJ0737+3216,SLACS,114.35,32.28,0.322,0.581,1.38,280000000000.0,273.0,confirmed,Koopmans+2006
SDSSJ0822+2652,SLACS,125.59,26.87,0.241,0.594,1.08,200000000000.0,221.0,confirmed,Koopmans+2006
SDSSJ0912+0029,SLACS,138.02,0.49,0.164,0.324,1.86,140000000000.0,168.0,confirmed,Koopmans+2006
SDSSJ0936+0913,SLACS,144.02,9.22,0.19,0.588,1.32,210000000000.0,234.0,confirmed,Koopmans+2006
SDSSJ0946+1006,SLACS,146.6,10.11,0.222,0.609,1.08,180000000000.0,207.0,confirmed,Koopmans+2006
SDSSJ0959+0410,SLACS,149.76,4.17,0.126,0.535,1.5,120000000000.0,150.0,confirmed,Koopmans+2006
HSC-0001,HSC-SSP,41.23620356542087,5.408571676918994,0.3975686030582771,2.6512933640583647,1.6060276702173681,268029773992.96637,258.37173645764545,candidate,HSC-SSP-simulated
HSC-0002,HSC-SSP,30.617534828874074,5.638918225943932,0.16966170026113483,1.4045689369767416,1.0752881599965283,41558376211.58254,124.33598776711011,candidate,HSC-SSP-simulated
HSC-0003,HSC-SSP,42.95835055926347,-2.505250317623497,0.10068634240315594,1.1537691610772376,1.5522331417463078,169039581232.98734,208.7111849756732,candidate,HSC-SSP-simulated
HSC-0004,HSC-SSP,35.990213464750795,0.17081326096333882,0.15870411585814553,1.0657078865942284,0.8351101831439758,88094626224.66377,205.41531251033615,candidate,HSC-SSP-simulated
HSC-0005,HSC-SSP,50.52699079536471,-0.7181700751247844,0.24739537184103969,0.5674640242629815,1.2798763524678094,80848470096.26393,158.9578175014489,candidate,HSC-SSP-simulated
HSC-0006,HSC-SSP,39.35133228268233,0.24081625413372976,0.070919016575201,1.0378942255192685,1.2479971346594205,162999407867.01,228.56841405949854,candidate,HSC-SSP-simulated
HSC-0007,HSC-SSP,32.65477506155759,-3.6482056509702576,0.2282668765626901,0.8819575940544272,0.8709317779750407,162103173259.69376,272.8561113109458,candidate,HSC-SSP-simulated
HSC-0008,HSC-SSP,38.42803529062142,0.5123529978989811,0.3181565909084883,0.9268159977378154,0.8162157168321179,128130049405.14471,250.5838144420434,candidate,HSC-SSP-simulated
HSC-0009,HSC-SSP,30.165663513708072,3.7855371414580095,0.5075162510103326,2.098121141911777,0.7774272122727419,81311808832.1802,204.53938120743928,candidate,HSC-SSP-simulated
HSC-0010,HSC-SSP,55.89310277626781,1.479577521930695,0.16821524512801478,0.8873593030210091,1.2760351693359266,264253319846.1403,287.8120014285412,candidate,HSC-SSP-simulated
HSC-0011,HSC-SSP,56.616382277289794,-0.3334208980566089,0.3267730710462748,0.8091953825923834,0.9893097396272739,219979042663.38107,298.23218279070034,candidate,HSC-SSP-simulated
HSC-0012,HSC-SSP,45.681984881459826,-0.869507779697404,0.26723829023307794,0.9220806415208664,0.9362230156036158,132417745042.22859,237.85562857558733,candidate,HSC-SSP-simulated
HSC-0013,HSC-SSP,42.31148769106889,3.066613662516584,0.12384476017578941,0.6734433192374707,1.3160313243410617,183924318834.19513,236.43755548298424,candidate,HSC-SSP-simulated
HSC-0014,HSC-SSP,54.110162306973436,-3.76115929336757,0.269274126071832,1.897280908411349,0.8100851380275411,83964998458.06174,203.61689267011158,candidate,HSC-SSP-simulated
HSC-0015,HSC-SSP,36.83805487625825,-0.8747065364849238,0.3118395457172091,1.3252968410158907,0.6540240054515747,64729015987.14102,198.96773386173206,candidate,HSC-SSP-simulated
HSC-0016,HSC-SSP,33.595961020010485,-1.9486179431564645,0.22004975555424094,1.3423525265701248,1.0803284521018401,126333731641.53441,216.27770421169163,candidate,HSC-SSP-simulated
HSC-0017,HSC-SSP,58.87341884826334,-2.97861245009563,0.05,0.8663355972257303,1.0182332961896383,299768469757.14276,343.1621056242643,candidate,HSC-SSP-simulated
HSC-0018,HSC-SSP,31.54436253749968,-2.6562424291606628,0.21456896589459498,1.2580987271265938,1.408952956301455,233731328969.01736,257.5966516343387,candidate,HSC-SSP-simulated
HSC-0019,HSC-SSP,37.12912631977199,2.738596183342315,0.6319206870917219,0.8483767967955651,0.7429244680262813,68243523736.28078,191.6851135198614,candidate,HSC-SSP-simulated
HSC-0020,HSC-SSP,31.223254246642917,1.0907153182589013,0.05389757922783821,0.932276226031912,0.7589440116342414,167924518490.05676,297.496720250877,candidate,HSC-SSP-simulated
HSC-0021,HSC-SSP,58.101899662102035,-4.349748670248081,0.12693013206679338,0.7691817410016132,1.27641474223575,80122316265.24277,158.45678417830223,candidate,HSC-SSP-simulated
HSC-0022,HSC-SSP,54.51666600603647,0.6624097391935475,0.050037474736498666,1.0083233466253048,1.0810846452002698,181428221608.62738,259.0911435888655,candidate,HSC-SSP-simulated
HSC-0023,HSC-SSP,40.17089373146102,-1.8094851046480693,0.3653065830041622,1.4054184182893068,0.8154563233546148,109361735938.56427,231.6126848580502,candidate,HSC-SSP-simulated
HSC-0024,HSC-SSP,34.84886142283841,4.782650262324951,0.3111561390241054,0.7631982854283642,1.750204001353527,259842367158.09842,243.69164604558938,candidate,HSC-SSP-simulated
HSC-0025,HSC-SSP,49.55883778507801,-3.3087682864732826,0.10476926182055947,1.5564082144216904,1.3351088695785758,193280876034.3556,240.63904634682493,candidate,HSC-SSP-simulated
HSC-0026,HSC-SSP,49.7283867690103,0.8197032400256594,0.2054279757208395,0.6407706487439444,0.9771349468092903,137278434037.65413,237.0575987408322,candidate,HSC-SSP-simulated
HSC-0027,HSC-SSP,56.7613966553134,1.5736635119671547,0.25252626745374734,2.420289875947555,1.206471766114828,94645693585.39938,177.1421221791859,candidate,HSC-SSP-simulated
HSC-0028,HSC-SSP,38.42317087322567,-5.708208402822554,0.09467814822438357,1.2798537057330293,0.9351588831773381,152857570356.226,255.7000247046046,candidate,HSC-SSP-simulated
HSC-0029,HSC-SSP,30.463698495866023,5.139822751052705,0.35329584428797384,1.140496784001104,0.7756622367906957,40354344348.11326,144.25763876570676,candidate,HSC-SSP-simulated
HSC-0030,HSC-SSP,55.534100145505704,-2.196935938124668,0.29379311125466845,0.5539188780641846,0.7670853310070437,99416235775.78288,227.6862552972764,candidate,HSC-SSP-simulated
HSC-0031,HSC-SSP,48.45021680097509,5.88064620125116,0.2614423313278938,0.5533033095646348,1.3839135245095395,257269150746.70752,272.69010260174514,candidate,HSC-SSP-simulated
HSC-0032,HSC-SSP,40.78473453659265,-2.4768978688260797,0.36358713125637965,1.57450935830537,1.1670909742152822,466836389686.11285,400.0,candidate,HSC-SSP-simulated
HSC-0033,HSC-SSP,53.948855369003255,1.7995671693331818,0.48398399202855946,1.8124716724426837,0.7930670057686308,85909376529.0813,208.15906966299957,candidate,HSC-SSP-simulated
HSC-0034,HSC-SSP,47.34840422988522,-5.568692714439095,0.8,0.9157421595356352,0.8679861160907822,163444924818.20178,274.4475298483683,candidate,HSC-SSP-simulated
HSC-0035,HSC-SSP,33.81181537955654,0.26691912065765244,0.1354900239353755,1.4889796681099872,1.0137654349921115,89024444986.20769,187.41998261970915,candidate,HSC-SSP-simulated
HSC-0036,HSC-SSP,46.219053648303195,1.6491588179784786,0.05,1.009576259967734,0.7883948613625401,90485476486.8824,214.26317792665506,candidate,HSC-SSP-simulated
HSC-0037,HSC-SSP,30.760522302463727,5.551780976135101,0.3610951454888664,1.8875012946624055,0.8672017820531429,76083633117.80258,187.3335383713144,candidate,HSC-SSP-simulated
HSC-0038,HSC-SSP,46.476799941183614,2.5751510724007485,0.07669591168924451,1.6540104478874529,1.8901323613955139,348631119702.5031,271.62326302755736,candidate,HSC-SSP-simulated
HSC-0039,HSC-SSP,42.5880018728337,-3.0272281259861105,0.584340157896405,1.0392572056575629,1.1424165830167572,191189395625.2062,258.73170267146685,candidate,HSC-SSP-simulated
HSC-0040,HSC-SSP,44.22521487261976,-4.825990072187983,0.0994707896146982,2.493046862747679,0.6511323118678586,74255384373.45338,213.57939267301458,candidate,HSC-SSP-simulated
HSC-0041,HSC-SSP,48.77579747142709,0.03763510296105288,0.17023205525269522,0.5170008852250827,1.1487001999998985,126496034987.60626,209.87712370842243,candidate,HSC-SSP-simulated
HSC-0042,HSC-SSP,47.5732674382039,5.2827628970994915,0.2619789689105236,2.5955508716054436,0.6898061591353565,111559020904.75974,254.34242563829855,candidate,HSC-SSP-simulated
HSC-0043,HSC-SSP,41.58307913402323,5.534286765886971,0.26399714178897715,1.2921875968914929,0.8296014651749779,144823134950.24875,264.2495233593333,candidate,HSC-SSP-simulated
