event_name,radius_name,radius_km,f_klein_hz,f_gw_hz,snr_original,snr_klein,resonance_factor,improvement_ratio,ligo_optimal_range,ligo_marginal_range,mass_1,mass_2,distance_mpc,gps_time
GW240109_050431,Klein_Fundamental_419km,419.3,113.79311135790466,93.3305761009817,10.4,16.90176372336127,1.6251695887847375,1.6251695887847375,True,True,29.1,18.0,1450.0,1388811889.8
GW240107_013215,Klein_Fundamental_419km,419.3,113.79311135790466,47.78119711256781,9.6,12.018670475721267,1.2519448412209653,1.2519448412209653,True,True,60.0,32.0,5700.0,1388626353.7
GW240105_151143,Klein_Fundamental_419km,419.3,113.79311135790466,,25.9,25.9,1.0,1.0,True,True,,,,1388502721.2
GW240104_164932,Klein_Fundamental_419km,419.3,113.79311135790466,58.92587311469488,14.8,18.85862630841611,1.2742315073254127,1.2742315073254127,True,True,42.3,32.3,1890.0,1388422190.6
GW231231_154016,Klein_Fundamental_419km,419.3,113.79311135790466,110.72720741451481,13.4,38.56759416441306,2.8781786689860493,2.878178668986049,True,True,22.5,17.2,1060.0,1388072434.7
GW231231_120147,Klein_Fundamental_419km,419.3,113.79311135790466,,11.3,11.3,1.0,1.0,True,True,,,,1388059325.6
GW231230_170116,Klein_Fundamental_419km,419.3,113.79311135790466,49.95306970859362,8.2,10.29451498662834,1.2554286569058952,1.2554286569058952,True,True,53.0,35.0,5600.0,1387990895.0
GW231226_101520,Klein_Fundamental_419km,419.3,113.79311135790466,58.37808943368179,34.7,44.167210500729986,1.2728302737962531,1.2728302737962531,True,True,40.0,35.3,1160.0,1387620938.3
GW231224_024321,Klein_Fundamental_419km,419.3,113.79311135790466,264.492787867403,14.0,16.942869210255395,1.2102049435896711,1.2102049435896711,True,True,9.3,7.32,950.0,1387421020.0
GW231223_202619,Klein_Fundamental_419km,419.3,113.79311135790466,226.5912440389814,10.0,12.181343949003056,1.2181343949003056,1.2181343949003056,True,True,11.1,8.3,890.0,1387398397.0
GW231223_075055,Klein_Fundamental_419km,419.3,113.79311135790466,233.82287948703393,9.4,11.430719154182729,1.2160339525726307,1.2160339525726307,True,True,12.0,6.8,960.0,1387353073.3
GW231223_032836,Klein_Fundamental_419km,419.3,113.79311135790466,57.089222524106994,10.2,12.950774608464801,1.269683785143608,1.269683785143608,True,True,46.0,31.0,4000.0,1387337334.1
GW231221_135041,Klein_Fundamental_419km,419.3,113.79311135790466,57.089222524106994,10.0,12.69683785143608,1.269683785143608,1.269683785143608,True,True,48.0,29.0,4300.0,1387201859.3
GW231220_173406,Klein_Fundamental_419km,419.3,113.79311135790466,,7.9,7.9,1.0,1.0,True,True,,,,1387128864.2
GW231213_111417,Klein_Fundamental_419km,419.3,113.79311135790466,70.10957152083316,10.4,13.669567083533805,1.3143814503397888,1.3143814503397888,True,True,35.3,27.4,4000.0,1386501275.9
GW231206_233901,Klein_Fundamental_419km,419.3,113.79311135790466,66.50333032308984,21.9,28.437586983288707,1.2985199535748269,1.2985199535748269,True,True,37.6,28.5,1490.0,1385941159.5
GW231206_233134,Klein_Fundamental_419km,419.3,113.79311135790466,68.15302533885641,12.8,16.708434724634717,1.3053464628620872,1.3053464628620872,True,True,35.9,28.6,3000.0,1385940712.5
GW231206_010629,Klein_Fundamental_419km,419.3,113.79311135790466,,9.7,9.7,1.0,1.0,True,True,,,,1385860007.2
GW231204_090648,Klein_Fundamental_419km,419.3,113.79311135790466,,8.4,8.4,1.0,1.0,True,True,,,,1385716026.9
GW231129_081745,Klein_Fundamental_419km,419.3,113.79311135790466,63.159053654543655,9.4,12.093482346833415,1.2865406751950441,1.2865406751950441,True,True,46.0,23.6,3600.0,1385281083.6
GW231127_165300,Klein_Fundamental_419km,419.3,113.79311135790466,58.61160179141651,9.9,12.606885478307559,1.273422775586622,1.273422775586622,True,True,46.0,29.0,4400.0,1385139198.9
GW231126_010928,Klein_Fundamental_419km,419.3,113.79311135790466,,9.1,9.1,1.0,1.0,True,True,,,,1384996186.3
GW231123_135430,Klein_Fundamental_419km,419.3,113.79311135790466,18.31612555981766,21.8,26.70958882024239,1.2252104963413941,1.2252104963413941,True,True,137.0,103.0,2200.0,1384782888.7
GW231120_022103,Klein_Fundamental_419km,419.3,113.79311135790466,,10.0,10.0,1.0,1.0,True,True,,,,1384482081.0
GW231119_075248,Klein_Fundamental_419km,419.3,113.79311135790466,53.608172370198034,8.3,10.475647162614557,1.2621261641704284,1.2621261641704284,True,True,48.0,34.0,6600.0,1384415586.1
GW231118_090602,Klein_Fundamental_419km,419.3,113.79311135790466,215.48383011550186,11.0,13.444866901971862,1.2222606274519874,1.2222606274519874,True,True,13.2,7.2,1350.0,1384333580.0
GW231118_071402,Klein_Fundamental_419km,419.3,113.79311135790466,60.21739910077039,9.2,11.754814518472697,1.2776972302687715,1.2776972302687715,True,True,43.0,30.0,4100.0,1384326860.2
GW231118_005626,Klein_Fundamental_419km,419.3,113.79311135790466,141.80226239858834,10.7,15.568609776220285,1.4550102594598397,1.4550102594598397,True,True,20.2,10.8,2170.0,1384304204.8
