ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
2,546874.4391187287,546874.4391187287,0.0,0.0,0.0,1.4810502488509167e+23,0.0
3,370543.5536746375,370543.5536746375,0.0,0.0,0.0,1.4810502488509167e+23,0.0
4,281123.41480137117,281123.41480137117,0.0,0.0,0.0,1.4810502488509167e+23,0.0
5,226914.39622888705,226914.39622888705,0.0,0.0,0.0,1.4810502488509167e+23,0.0
6,190478.68970949788,190478.68970949788,0.0,0.0,0.0,1.4810502488509167e+23,0.0
7,164276.528415205,164276.528415205,0.0,0.0,0.0,1.4810502488509167e+23,0.0
8,144511.02633985245,144511.02633985245,0.0,0.0,0.0,1.4810502488509167e+23,0.0
9,129060.10092184365,129060.10092184365,0.0,0.0,0.0,1.4810502488509167e+23,0.0
10,116643.87647461369,116643.87647461369,0.0,0.0,0.0,1.4810502488509167e+23,0.0
11,106444.15037252504,106444.15037252504,0.0,0.0,0.0,1.4810502488509167e+23,0.0
12,97913.21547240637,97913.21547240637,0.0,0.0,0.0,1.4810502488509167e+23,0.0
13,90670.48130934717,90670.48130934717,0.0,0.0,0.0,1.4810502488509167e+23,0.0
14,84443.17489898003,84443.17489898003,0.0,0.0,0.0,1.4810502488509167e+23,0.0
15,79030.63765227997,79030.63765227997,0.0,0.0,0.0,1.4810502488509167e+23,0.0
16,74281.93984773285,74281.93984773285,0.0,0.0,0.0,1.4810502488509167e+23,0.0
17,70081.35322857139,70081.35322857139,0.0,0.0,0.0,1.4810502488509167e+23,0.0
18,66338.63955483127,66338.63955483127,0.0,0.0,0.0,1.4810502488509167e+23,0.0
19,62982.38892907072,62982.38892907072,0.0,0.0,0.0,1.4810502488509167e+23,0.0
20,59955.345425384636,59955.345425384636,0.0,0.0,0.0,1.4810502488509167e+23,0.0
21,57211.06069647106,57211.06069647106,0.0,0.0,0.0,1.4810502488509167e+23,0.0
22,54711.45502474308,54711.45502474308,0.0,0.0,0.0,1.4810502488509167e+23,0.0
23,52425.01096158629,52425.01096158629,0.0,0.0,0.0,1.4810502488509167e+23,0.0
24,50325.415941187435,50325.415941187435,0.0,0.0,0.0,1.4810502488509167e+23,0.0
25,48390.52876810006,48390.52876810006,0.0,0.0,0.0,1.4810502488509167e+23,0.0
26,46601.58320932319,46601.58320932319,0.0,0.0,0.0,1.4810502488509167e+23,0.0
27,44942.567522729296,44942.567522729296,0.0,0.0,0.0,1.4810502488509167e+23,0.0
28,43399.73615612425,43399.73615612425,0.0,0.0,0.0,1.4810502488509167e+23,0.0
29,41961.22187294671,41961.22187294671,0.0,0.0,0.0,1.4810502488509167e+23,0.0
30,40616.724989299095,40616.724989299095,0.0,0.0,0.0,1.4810502488509167e+23,0.0
31,39357.26239785161,39357.26239785161,0.0,0.0,0.0,1.4810502488509167e+23,0.0
32,38174.96336646044,38174.96336646044,0.0,0.0,0.0,1.4810502488509167e+23,0.0
33,37062.902240033385,37062.902240033385,0.0,0.0,0.0,1.4810502488509167e+23,0.0
34,36014.96048668996,36014.96048668996,0.0,0.0,0.0,1.4810502488509167e+23,0.0
35,35025.71224941486,35025.71224941486,0.0,0.0,0.0,1.4810502488509167e+23,0.0
36,34090.328856179374,34090.328856179374,0.0,0.0,0.0,1.4810502488509167e+23,0.0
37,33204.49872028321,33204.49872028321,0.0,0.0,0.0,1.4810502488509167e+23,0.0
38,32364.359810534253,32364.359810534253,0.0,0.0,0.0,1.4810502488509167e+23,0.0
39,31566.442446839257,31566.442446839257,0.0,0.0,0.0,1.4810502488509167e+23,0.0
40,30807.62062365197,30807.62062365197,0.0,0.0,0.0,1.4810502488509167e+23,0.0
41,30085.07041289117,30085.07041289117,0.0,0.0,0.0,1.4810502488509167e+23,0.0
42,29396.234272580798,29396.234272580798,0.0,0.0,0.0,1.4810502488509167e+23,0.0
43,28738.79030484925,28738.79030484925,0.0,0.0,0.0,1.4810502488509167e+23,0.0
44,28110.625680021425,28110.625680021425,0.0,0.0,0.0,1.4810502488509167e+23,0.0
45,27509.81358215185,27509.81358215185,0.0,0.0,0.0,1.4810502488509167e+23,0.0
46,26934.593142950547,26934.593142950547,0.0,0.0,0.0,1.4810502488509167e+23,0.0
47,26383.351921370846,26383.351921370846,0.0,0.0,0.0,1.4810502488509167e+23,0.0
48,25854.610559579658,25854.610559579658,0.0,0.0,0.0,1.4810502488509167e+23,0.0
49,25347.00930604497,25347.00930604497,0.0,0.0,0.0,1.4810502488509167e+23,0.0
50,24859.29614573093,24859.29614573093,0.0,0.0,0.0,1.4810502488509167e+23,0.0
51,24390.316317988967,24390.316317988967,0.0,0.0,0.0,1.4810502488509167e+23,0.0
52,23939.003036333776,23939.003036333776,0.0,0.0,0.0,1.4810502488509167e+23,0.0
53,23504.369252210454,23504.369252210454,0.0,0.0,0.0,1.4810502488509167e+23,0.0
54,23085.50032814271,23085.50032814271,0.0,0.0,0.0,1.4810502488509167e+23,0.0
55,22681.547505141214,22681.547505141214,0.0,0.0,0.0,1.4810502488509167e+23,0.0
56,22291.722065620568,22291.722065620568,0.0,0.0,0.0,1.4810502488509167e+23,0.0
57,21915.290106869143,21915.290106869143,0.0,0.0,0.0,1.4810502488509167e+23,0.0
58,21551.567851779528,21551.567851779528,0.0,0.0,0.0,1.4810502488509167e+23,0.0
59,21199.917433438935,21199.917433438935,0.0,0.0,0.0,1.4810502488509167e+23,0.0
60,20859.743098593142,20859.743098593142,0.0,0.0,0.0,1.4810502488509167e+23,0.0
61,20530.487782174987,20530.487782174987,0.0,0.0,0.0,1.4810502488509167e+23,0.0
62,20211.630011228837,20211.630011228837,0.0,0.0,0.0,1.4810502488509167e+23,0.0
63,19902.681101828588,19902.681101828588,0.0,0.0,0.0,1.4810502488509167e+23,0.0
64,19603.182617116137,19603.182617116137,0.0,0.0,0.0,1.4810502488509167e+23,0.0
65,19312.704058491425,19312.704058491425,0.0,0.0,0.0,1.4810502488509167e+23,0.0
66,19030.8407653596,19030.8407653596,0.0,0.0,0.0,1.4810502488509167e+23,0.0
67,18757.212001763564,18757.212001763564,0.0,0.0,0.0,1.4810502488509167e+23,0.0
68,18491.459210768015,18491.459210768015,0.0,0.0,0.0,1.4810502488509167e+23,0.0
69,18233.24441966881,18233.24441966881,0.0,0.0,0.0,1.4810502488509167e+23,0.0
70,17982.248781027007,17982.248781027007,0.0,0.0,0.0,1.4810502488509167e+23,0.0
71,17738.17123620907,17738.17123620907,0.0,0.0,0.0,1.4810502488509167e+23,0.0
72,17500.727289587652,17500.727289587652,0.0,0.0,0.0,1.4810502488509167e+23,0.0
