name,ra_deg,dec_deg,distance_mpc,v_max_kms,stellar_mass_log,environment,klein_epsilon_predicted,core_radius_kpc
NGC2403,114.2,65.6,3.2,134,9.2,isolated,0.249816047538945,2.098454799327138
NGC3198,154.9,45.5,13.8,150,10.1,group,0.4802857225639665,4.034400069537319
NGC2841,140.5,50.9,14.1,245,10.8,group,0.39279757672456206,3.2994996444863216
NGC3521,166.4,-0.04,10.7,210,10.5,isolated,0.3394633936788146,2.851492506902043
NGC7331,339.3,34.4,14.3,250,10.9,group,0.1624074561769746,1.3642226318865867
DDO154,123.8,49.9,4.3,45,8.1,satellite,0.16239780813448107,1.364141588329641
NGC2366,111.5,69.2,3.4,52,8.5,isolated,0.12323344486727979,1.0351609368851502
IC2574,157.3,53.1,4.0,75,8.9,satellite,0.4464704583099741,3.7503518498037827
NGC925,36.8,33.6,9.2,110,9.7,isolated,0.34044600469728353,2.8597464394571817
NGC1560,67.2,71.8,2.8,48,8.3,isolated,0.3832290311184182,3.219123861394713
