name,distance_mpc,v_max_kms,stellar_mass_log_msun,morphology,environment,environment_factor,klein_epsilon,core_radius_predicted_kpc,core_radius_observed_kpc,core_radius_error_kpc
NGC2403,3.2,134,9.2,Sc,isolated,1.0,0.10124593802764367,0.8504658794322069,0.4603581888372311,0.3460358188837231
NGC3198,13.8,150,10.1,Sc,group,0.8,0.2290650119918179,1.9241461007312703,2.0816838662039343,0.5081683866203934
NGC2841,14.1,245,10.8,Sb,group,0.8,0.34901294671314465,2.9317087523904153,3.280755969442929,0.6280755969442929
NGC3521,10.7,210,10.5,Sc,isolated,1.0,0.33762303323718396,2.8360334791923454,2.9554507986468868,0.5955450798646886
NGC7331,14.3,250,10.9,Sb,group,0.8,0.24905037680195108,2.092023165136389,1.6409770444976637,0.4640977044497664
DDO154,4.3,45,8.1,Im,satellite,0.3,0.05,0.42000000000000004,0.5152816723405284,0.35152816723405284
NGC2366,3.4,52,8.5,Im,isolated,1.0,0.059950211352151464,0.5035817753580724,0.556821620613657,0.3556821620613657
IC2574,4.0,75,8.9,Sm,satellite,0.3,0.05,0.42000000000000004,0.18769495988917204,0.3187694959889172
NGC925,9.2,110,9.7,Sc,isolated,1.0,0.16207392711626958,1.3614209877766645,0.7984033843199758,0.3798403384319976
NGC1560,2.8,48,8.3,Sa,isolated,1.0,0.057718691297986395,0.48483700690308573,0.5237906621521197,0.352379066215212
NGC5055,7.2,180,10.3,Sc,group,0.8,0.15040761854611406,1.263423995787358,1.1172855255575311,0.41172855255575314
NGC6946,5.9,165,10.2,Sc,isolated,1.0,0.2969946068308803,2.4947546973793946,1.8207030345063344,0.48207030345063345
NGC2976,3.6,85,9.1,Se,group,0.8,0.07405525060718841,0.6220641051003827,0.5732671977518906,0.35732671977518904
DDO161,3.0,62,8.4,Im,satellite,0.3,0.05,0.42000000000000004,0.3131255518791596,0.33131255518791597
NGC4559,8.1,125,9.8,Sc,isolated,1.0,0.20065460598192256,1.6854986902481495,1.8959427668176763,0.48959427668176764
NGC3031,3.6,140,10.6,Sab,group,0.8,0.29734562619801796,2.497703260063351,2.479004054079408,0.5479004054079408
NGC5194,8.4,220,10.7,Sbc,group,0.8,0.31446464372553173,2.6415030072944665,2.6726001705217954,0.5672600170521795
NGC628,7.3,170,10.4,Sc,group,0.8,0.22736809064747002,1.9098919614387482,1.350838527212792,0.4350838527212792
NGC2903,8.9,190,10.2,Sb,isolated,1.0,0.17891411295780302,1.5028785488455454,0.7843044887828116,0.37843044887828114
NGC4736,4.7,115,9.9,Sab,group,0.8,0.15982947490539667,1.3425675892053321,1.4337085350635386,0.44337085350635386
