datetime,ism_density,ism_magnetic_field,cosmic_ray_intensity,ism_temperature,spacecraft_distance_au,heliopause_proximity,ena_flux,mission,klein_deformation,klein_state,beta_plasma_dynamic,compression_indicator,rarefaction_indicator,klein_twist_factor,klein_phase,klein_frequency_alignment,klein_boundary_enhancement
2012-01-01,0.18080761065729478,3.423705257951055,101.85244561793174,7889.483020187441,90.0,0.6065306597126334,60.92595642825599,SYNTHETIC_VOYAGER,,ism_boundary,2.691437665108022e-05,0.0,0.0,1.0,0.0,1.0,
2012-01-02,0.174512509791444,3.089597341250914,91.24998004097178,7693.059006833102,90.01597079625827,0.6074993366477812,57.60938820572031,SYNTHETIC_VOYAGER,,ism_boundary,2.6577222036291015e-05,0.0,0.0,1.0,5.026548246211831,0.3090169948201961,
2012-01-03,0.18722398426805162,3.334395605939207,94.79230613793375,7664.183045776346,90.03194159251655,0.6084680086367932,56.19978331771373,SYNTHETIC_VOYAGER,,ism_boundary,2.6527296230878527e-05,0.0,0.0,1.0,3.7699111852440765,-0.8090169938245896,
2012-01-04,0.22728527690224773,3.6201389779107087,101.54319232033502,8151.220640211328,90.04791238877482,0.6094366707263369,63.940745335227604,SYNTHETIC_VOYAGER,,ism_boundary,2.7357183114559054e-05,0.0,0.0,1.0,2.5132741242763217,-0.8090169952004842,
2012-01-05,0.23870910803287587,3.6707755401426936,102.7405155102493,8650.9399400267,90.06388318503308,0.6104053179552631,63.816874308226474,SYNTHETIC_VOYAGER,,ism_boundary,2.8183290771749958e-05,0.0,0.0,1.0,1.2566370633085668,0.3090169925939519,
2012-01-06,0.19797473307290336,3.499369495398563,98.70457664901544,8157.174863647452,90.07985398129135,0.6113739453546472,55.22012201965144,SYNTHETIC_VOYAGER,,ism_boundary,2.736717309349482e-05,0.0,0.0,1.0,4.78166839457117e-10,1.0,
2012-01-07,0.17253942192073235,3.2222139486328762,96.77895681783504,7509.490761762112,90.09582477754962,0.6123425479478226,55.22112987128422,SYNTHETIC_VOYAGER,,ism_boundary,2.625822084145453e-05,0.0,0.0,1.0,5.026548248552643,0.30901699704644064,
2012-01-08,0.18657888153838356,3.3270524223030526,99.82437194944661,7653.083136735214,90.1117955738079,0.6133111207504228,55.84902379756887,SYNTHETIC_VOYAGER,,ism_boundary,2.6508079749307538e-05,0.0,0.0,1.0,3.7699111857222434,-0.8090169935435302,
2012-01-09,0.2167809402571632,3.6878494950458505,103.14844861480174,8571.316475831658,90.12776637006617,0.6142796587704188,62.042231806092026,SYNTHETIC_VOYAGER,,ism_boundary,2.8053291099147802e-05,0.0,0.0,1.0,2.5132741266171337,-0.8090169965763789,
2012-01-10,0.21547635617801855,3.7326178083157635,104.58893602634511,8860.142885657257,90.14373716632444,0.6152481570081582,60.9528286286679,SYNTHETIC_VOYAGER,,ism_boundary,2.8522028911247527e-05,0.0,0.0,1.0,1.2566370637867337,0.3090169921391882,
