N,Z,A,element,topology,stability,modes,decay_channels,be_correction,magic_deviation
0,1,1,H,twisted_cylinder,0.3321290994852558,3,isomeric_transition,0.0,2.23606797749979
1,1,2,H,knotted_klein_bottle,0.701455326577506,4,stable,0.0944911182523068,1.4142135623730951
2,1,3,H,stable_klein_bottle,0.7369168115398401,3,stable,0.6943650748294136,1.0
3,1,4,H,knotted_klein_bottle,0.5194982251943134,4,stable,0.1336306209562122,1.4142135623730951
4,1,5,H,twisted_cylinder,0.29301787717447375,3,isomeric_transition,0.0,2.23606797749979
5,1,6,H,twisted_cylinder,0.27007846716719897,3,isomeric_transition,0.0,3.1622776601683795
6,1,7,H,twisted_cylinder,0.2877247488253139,3,isomeric_transition,0.0,2.23606797749979
7,1,8,H,knotted_klein_bottle,0.4915403487795306,4,stable,0.1889822365046136,1.4142135623730951
8,1,9,H,twisted_cylinder,0.3184022668716916,3,isomeric_transition,0.0,1.0
9,1,10,H,twisted_cylinder,0.30693082638651065,3,isomeric_transition,0.0,1.4142135623730951
10,1,11,H,twisted_cylinder,0.2869114547735377,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
11,1,12,H,twisted_cylinder,0.2679801956177019,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
12,1,13,H,twisted_cylinder,0.2517219873072401,3,"isomeric_transition,beta_minus",0.0,4.123105625617661
13,1,14,H,twisted_cylinder,0.23811711730538881,3,"isomeric_transition,beta_minus",0.0,5.0990195135927845
14,1,15,H,twisted_cylinder,0.22684392207465526,3,"isomeric_transition,beta_minus",0.0,6.082762530298219
15,1,16,H,twisted_cylinder,0.23811657514642554,3,"isomeric_transition,beta_minus",0.0,5.0990195135927845
16,1,17,H,twisted_cylinder,0.25172021852719756,3,"isomeric_transition,beta_minus",0.0,4.123105625617661
17,1,18,H,twisted_cylinder,0.2679749945225314,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
18,1,19,H,twisted_cylinder,0.28689628594361516,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
19,1,20,H,twisted_cylinder,0.3068867073807495,3,"isomeric_transition,beta_minus",0.0,1.4142135623730951
20,1,21,H,twisted_cylinder,0.31827788255289513,3,"isomeric_transition,beta_minus",0.0,1.0
21,1,22,H,twisted_cylinder,0.30688670564874765,3,"isomeric_transition,beta_minus",0.0,1.4142135623730951
22,1,23,H,twisted_cylinder,0.2868962809465638,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
23,1,24,H,twisted_cylinder,0.2679749816303054,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
24,1,25,H,twisted_cylinder,0.2517201855375014,3,"isomeric_transition,beta_minus",0.0,4.123105625617661
25,1,26,H,twisted_cylinder,0.26797498160260497,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
26,1,27,H,twisted_cylinder,0.28689628085503954,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
27,1,28,H,twisted_cylinder,0.3068867053783308,3,"isomeric_transition,beta_minus",0.0,1.4142135623730951
28,1,29,H,twisted_cylinder,0.31827788178890315,3,"isomeric_transition,beta_minus",0.0,1.0
29,1,30,H,twisted_cylinder,0.30688670537774976,3,"isomeric_transition,beta_minus",0.0,1.4142135623730951
30,1,31,H,twisted_cylinder,0.2868962808533633,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
31,1,32,H,twisted_cylinder,0.2679749815982801,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
32,1,33,H,twisted_cylinder,0.2517201855264346,3,"isomeric_transition,beta_minus",0.0,4.123105625617661
33,1,34,H,twisted_cylinder,0.23811649028898388,3,"isomeric_transition,beta_minus",0.0,5.0990195135927845
34,1,35,H,twisted_cylinder,0.22684370232830237,3,"isomeric_transition,beta_minus",0.0,6.082762530298219
35,1,36,H,twisted_cylinder,0.21754542852598766,3,"isomeric_transition,beta_minus",0.0,7.0710678118654755
36,1,37,H,unstable_topology,0.0839578725890918,6,"beta_minus,proton_emission",-0.40642166702646576,8.06225774829855
37,1,38,H,unstable_topology,0.08144345801622853,6,"beta_minus,proton_emission",-0.411877235523957,9.055385138137417
38,1,39,H,transition_state,0.01984486013619367,0,"immediate_decay,particle_emission",-1.6690459207925603,10.04987562112089
39,1,40,H,transition_state,0.019421543323529068,0,"immediate_decay,particle_emission",-1.6903085094570331,11.045361017187261
40,1,41,H,transition_state,0.01984486013619367,0,"immediate_decay,particle_emission",-1.7113069358158484,10.04987562112089
41,1,42,H,unstable_topology,0.08144345801622851,6,"beta_minus,proton_emission",-0.4330127018922193,9.055385138137417
42,1,43,H,unstable_topology,0.08395787258909179,6,"beta_minus,proton_emission",-0.43813729094233206,8.06225774829855
43,1,44,H,twisted_cylinder,0.2175454285259875,3,"isomeric_transition,beta_minus",0.0,7.0710678118654755
44,1,45,H,twisted_cylinder,0.2268437023283019,3,"isomeric_transition,beta_minus",0.0,6.082762530298219
45,1,46,H,twisted_cylinder,0.2381164902889826,3,"isomeric_transition,beta_minus",0.0,5.0990195135927845
46,1,47,H,twisted_cylinder,0.2517201855264309,3,"isomeric_transition,beta_minus",0.0,4.123105625617661
47,1,48,H,twisted_cylinder,0.2679749815982694,3,"isomeric_transition,beta_minus",0.0,3.1622776601683795
48,1,49,H,twisted_cylinder,0.28689628085333196,3,"isomeric_transition,beta_minus",0.0,2.23606797749979
49,1,50,H,twisted_cylinder,0.30688670537765883,3,"isomeric_transition,beta_minus",0.0,1.4142135623730951
50,1,51,H,twisted_cylinder,0.3182778817886468,3,"isomeric_transition,beta_minus",0.0,1.0
