event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW150914,GWTC-1-confident,3,1126259462.4,35.6,-3.1,4.7,30.6,-4.4,3.0,,,,63.1,-3.0,3.4,28.6,-1.5,1.7,440.0,-170.0,150.0,0.09,-0.03,0.03,25.2,,,-0.01,-0.13,0.12,1e-07,1.0,,,,O1,
GW150914,GWTC-2.1-confident,4,1126259462.4,34.6,-2.6,4.4,30.0,-4.6,2.9,64.5,-3.2,3.7,61.5,-2.9,3.4,27.9,-1.5,1.7,470.0,-160.0,140.0,0.1,-0.03,0.03,26.0,-0.2,0.1,-0.04,-0.14,0.12,,,,,,O1,3.0
GW151012,GWTC-2.1-confident,4,1128678900.4,24.8,-6.3,14.5,13.6,-4.9,4.5,38.8,-4.7,10.3,37.1,-4.6,10.6,15.6,-1.5,2.3,1000.0,-490.0,640.0,0.2,-0.09,0.11,9.3,-0.5,0.3,0.12,-0.21,0.28,,,,,,O1,1.6999999999999957
GW151012,GWTC-1-confident,3,1128678900.4,23.2,-5.5,14.9,13.6,-4.8,4.1,,,,35.6,-3.8,10.8,15.2,-1.2,2.1,1080.0,-490.0,550.0,0.21,-0.09,0.09,10.0,,,0.05,-0.2,0.31,0.00792,1.0,,,,O1,
GW151226,GWTC-2.1-confident,3,1135136350.6,14.2,-3.6,11.1,7.5,-2.8,2.4,21.7,-1.6,8.3,20.7,-1.6,8.6,8.9,-0.3,0.3,460.0,-200.0,160.0,0.1,-0.04,0.03,12.7,-0.4,0.3,0.2,-0.08,0.23,,,,,,O1,1.0
GW151226,GWTC-1-confident,2,1135136350.6,13.7,-3.2,8.8,7.7,-2.5,2.2,,,,20.5,-1.5,6.4,8.9,-0.3,0.3,450.0,-190.0,180.0,0.09,-0.04,0.04,13.1,,,0.18,-0.12,0.2,1e-07,1.0,,,,O1,
GW170104,GWTC-1-confident,2,1167559936.6,30.8,-5.6,7.3,20.0,-4.6,4.9,,,,48.9,-4.0,5.1,21.4,-1.8,2.2,990.0,-430.0,440.0,0.2,-0.08,0.08,13.0,,,-0.04,-0.21,0.17,1e-07,1.0,,,,O2,
GW170104,GWTC-2.1-confident,3,1167559936.6,28.7,-4.2,6.6,20.8,-4.7,4.1,49.6,-3.6,4.7,47.5,-3.4,4.5,21.1,-1.5,2.0,1110.0,-480.0,390.0,0.22,-0.09,0.07,13.8,-0.3,0.2,-0.04,-0.19,0.15,,,,,,O2,2.1000000000000014
GW170608,GWTC-2.1-confident,4,1180922494.5,10.6,-1.4,4.0,7.8,-1.9,1.2,18.5,-0.6,2.0,17.7,-0.6,2.1,7.9,-0.2,0.2,340.0,-130.0,120.0,0.07,-0.03,0.03,15.3,-0.3,0.2,0.05,-0.05,0.13,,,,,,O2,0.8000000000000007
GW170608,GWTC-1-confident,3,1180922494.5,11.0,-1.7,5.5,7.6,-2.2,1.4,,,,17.8,-0.7,3.4,7.9,-0.2,0.2,320.0,-110.0,120.0,0.07,-0.02,0.02,15.4,,,0.03,-0.07,0.19,1e-07,1.0,,,,O2,
