pulsar,mjd,residual_us,residual_error_us,frequency_mhz,time_years,klein_phase
J0751+1807,54019.810402680974,54223.19751250938,0.29266031168747203,1526.0887416848473,0.0,4.627525583080811
J0751+1807,54034.43693442755,52522.97723053509,0.1993519729953956,1242.5179441998566,0.040045261455368006,2.790899839279419
J0751+1807,54037.91347368537,50722.159007752736,0.0517716168618456,1394.9417483514544,0.04956350719888406,0.2390193932187472
J0751+1807,54038.30076550572,49120.910433769684,0.058532476017794474,1453.7589037988337,0.05062385441409567,1.7182274971067741
J0751+1807,54049.277481773504,47751.49847072499,0.08687113270117712,1241.4721161484117,0.08067646568796764,4.620108249223378
J0751+1807,54049.65444919008,46464.981520949405,0.09689328945468918,1407.8428381889385,0.08170854622615845,1.5640744682546313
J0751+1807,54054.173140461455,45417.75028061344,0.24190478070664917,1431.0085151649773,0.09408004868030262,0.17431241795501506
J0751+1807,54060.56428686124,44347.20199441373,0.10569146910423748,1496.998424202946,0.11157805388163464,5.6908794369615805
J0751+1807,54104.13679289065,43129.23590866517,0.29228540501246497,1293.9344196590132,0.23087307381156266,2.416971193381748
J0751+1807,54165.1367444723,41761.03355001062,0.2090280143007346,1317.3310013163034,0.39788183926441023,3.9161397717065753
J0751+1807,54172.70217275134,40198.82370503447,0.22312937731337945,1427.8084586532134,0.4185948530331767,4.285573806431444
J0751+1807,54234.965835470175,38479.72122622157,0.10445412982130188,1593.2505639926458,0.5890634710176614,4.32698975294236
J0751+1807,54248.61062367019,36805.755657586196,0.2731765785237712,1286.997273128046,0.6264208651313202,4.9473362472023155
J0751+1807,54320.73381550899,35346.145217026016,0.21695364320498284,1594.3615308493856,0.8238834026776591,2.693411146238226
J0751+1807,54330.98219949621,34233.56285934675,0.26610140608546595,1485.7370132217925,0.851941948843907,2.3069600959086074
J0751+1807,54338.6727326503,33355.19849430969,0.28912027430780673,1530.4328278520093,0.8729974810933009,5.614649048921137
J0751+1807,54340.112494390516,32802.354328166184,0.08141024427739911,1235.8565072945357,0.8769393339070277,5.322706455989291
J0751+1807,54364.01709032232,32356.44314802601,0.07414680756723642,1320.168074972253,0.9423865506949887,0.6902893779639996
J0751+1807,54373.29059766541,32080.573319435247,0.25085195664740895,1223.0945118603925,0.967776030073739,2.422144462287001
J0751+1807,54376.30622462447,31885.036902928812,0.2665315147735426,1348.61879800127,0.9760323667173151,2.1797016252419894
J0751+1807,54404.99860507298,31852.873693381913,0.19594035521949643,1592.5158639680208,1.0545878231129482,2.744346608469918
J0751+1807,54411.89563014559,31783.826126116677,0.14150013693763014,1242.1092248825353,1.07347084863687,1.7920063395081058
J0751+1807,54416.3228265727,31739.02534850663,0.21315740901880592,1424.9491129484798,1.085591851859622,4.939896036520729
J0751+1807,54432.57375805133,31591.75611932999,0.12641601814811432,1202.4282491255249,1.1300844774000172,5.725287219440048
J0751+1807,54458.03599716251,31428.99586388523,0.10959642303836704,1485.0731264176252,1.1997962887926992,4.269402082466264
J0751+1807,54472.66906293266,31103.367126419143,0.17203630238181639,1278.8770769488165,1.2398594394296727,6.109346071692663
J0751+1807,54491.470595093684,30775.158323810687,0.10403845690159493,1251.8338148499051,1.291335229056016,3.037408965768897
J0751+1807,54511.757336443785,30415.459866187062,0.1709259020787932,1334.807124864315,1.346877299829735,2.3528109847421774
J0751+1807,54516.25214228478,29925.867053986185,0.289151626365893,1508.4177191755925,1.3591834075395053,2.0768507970679977
J0751+1807,54517.89946576772,29331.894987325286,0.2599460089043476,1242.6452345244843,1.3636935334339313,3.923488125318599
J0751+1807,54518.58768658165,28507.785140348326,0.28540772987500557,1291.9355983194782,1.3655777793310864,2.295389605037087
J0751+1807,54538.690791080095,27583.977430612387,0.2515822437118396,1203.385768646924,1.4206170798059423,0.6543416405090952
J0751+1807,54539.272644725344,26468.884909065706,0.1386877339865692,1587.3659450782473,1.4222101082665852,5.93292706899598
J0751+1807,54561.835544909656,25119.571761105373,0.25301130963788976,1436.8582399955455,1.4839839622961861,2.108034063823034
J0751+1807,54573.974985270426,23940.943148236325,0.2807289358883035,1487.9598545538797,1.5172199386432637,6.10371183449751
J0751+1807,54583.68791010687,22822.43171560485,0.2867589469592636,1460.5532684624059,1.5438124775520756,1.6384493912523013
J0751+1807,54592.428043454354,21518.608388838078,0.22079946267124928,1257.7458235478698,1.5677416585171255,1.1392190039586225
J0751+1807,54601.22403891521,20151.362962792427,0.1028416609537783,1437.9759755975977,1.5918237816132303,3.428830866972355
J0751+1807,54620.572989356944,18532.958600120393,0.059932288341172715,1252.5662380565047,1.6447983208103216,4.227930529863208
J0751+1807,54652.78316498797,16850.866080480264,0.08680005704003894,1360.4945815852511,1.7329849755153985,4.927148770455737
J0751+1807,54670.07477289424,15278.987993795696,0.29138672947348637,1427.5852543701171,1.7803268178323415,5.952670112390919
J0751+1807,54672.7072126953,13936.09700180528,0.16552420604819235,1423.5524456408623,1.787534045213757,0.2805329194353732
J0751+1807,54682.407834193706,12716.522597375953,0.2637465037080144,1247.6293703930965,1.8140928994188403,2.8037379946489196
J0751+1807,54685.23405313981,11325.568763312103,0.1662610383895728,1213.7743878586089,1.8218306651850333,0.2919644523939695
J0751+1807,54693.41812422084,10011.366594233727,0.21520439586495987,1519.2937255495256,1.844237430636192,1.870052583098179
J0751+1807,54698.91617805654,8692.31547653013,0.056035194280583414,1490.3689747984022,1.8592902816579513,1.342119389626646
J0751+1807,54717.87242621913,7464.999707470898,0.1124662356798417,1232.7275618258952,1.911189660610972,5.7296160168292545
J0751+1807,54720.15986371139,5856.784980395278,0.15906732001064733,1250.9662075206213,1.917452323149675,2.740066652110734
J0751+1807,54767.881995400545,4407.564349314623,0.20765776178854078,1557.0335105558481,2.048108398958441,0.042775205358374535
J0751+1807,54778.767678182805,3125.9795053830285,0.09288029701329463,1507.651560648712,2.0779117741323225,3.792321588302393
J0751+1807,54778.78442713864,1692.9414082587111,0.2411378660676225,1598.4641184866696,2.0779576302742444,1.1758446189785658
J0751+1807,54786.06751402533,350.72317040949093,0.14110117653405935,1301.5949796820087,2.097897635439714,4.03982036342174
J0751+1807,54795.18409448187,-895.9196447240723,0.2543588173084711,1395.121195547526,2.1228574724186022,4.619185506961514
J0751+1807,54799.50839694149,-2152.0254165295432,0.07449227259876683,1294.5838304249423,2.1346967673114787,5.126031354368422
J0751+1807,54802.23441505891,-3725.5633274489965,0.21993914692059297,1449.1200553909239,2.142160198159995,4.140580648977469
J0751+1807,54825.10124804142,-5302.664779800947,0.12333208330162755,1246.1656956365273,2.204766174840375,4.265205282385715
J0751+1807,54838.87075744979,-6507.643700459142,0.2488457935306545,1250.8972690972132,2.2424650370124986,6.031882725945543
J0751+1807,54872.823692257676,-7501.823544295092,0.15054260676060266,1228.755156562049,2.3354231063017163,3.913443917234787
J0751+1807,54873.53963391424,-8466.881370635516,0.21633740806589163,1477.4344329056667,2.3373832477296776,2.65576026609655
J0751+1807,54895.91921541174,-9284.1038870847,0.28357631715911835,1397.6290309732826,2.3986552025483,5.037487877477091
J0751+1807,54925.67338893385,-10285.248175888106,0.05515665800344109,1447.092486541852,2.4801176899462725,6.069969395403135
J0751+1807,54927.3592529821,-11318.431170383199,0.05277919558359341,1551.7204186357435,2.4847333341577804,0.7506705917020327
J0751+1807,55009.122884211174,-12379.901940731284,0.24256981304417835,1496.1313939021434,2.7085899562770703,4.224841376749602
J0751+1807,55044.196612265725,-13308.453721877579,0.21159826287701955,1384.6891672666763,2.8046165902388798,5.4200618121065745
J0751+1807,55046.34279982214,-14043.858878574172,0.12324493012610817,1593.7423953576906,2.8104925315295373,4.38765969631357
J0751+1807,55067.22644210451,-14669.291853744706,0.1735991756935656,1382.5024404567894,2.8676688279905185,5.753337948701287
J0751+1807,55104.17597227118,-15387.855564445286,0.06048391639971719,1244.9802692934134,2.9688311282414928,4.6748598817653
J0751+1807,55108.699356113,-16036.861744288492,0.0981114013403102,1597.0618989010864,2.9812154782533224,2.583456490628592
J0751+1807,55177.27912585337,-16832.190270987692,0.15612409363179186,1209.1282920059389,3.168976654818329,3.586402955737192
J0751+1807,55179.56554644987,-17726.130578966353,0.2585111040553706,1419.953423795101,3.175236533248176,0.3227647447259514
J0751+1807,55187.980470185474,-18446.53823205853,0.16991679571502122,1323.6381954798837,3.198275338821354,4.426256987848227
J0751+1807,55188.876401227964,-19322.428754271466,0.1965906261314947,1401.420860406794,3.200728264331253,4.118184353311243
J0751+1807,55212.320023495624,-19977.013028347854,0.26843844799844513,1423.4851810378086,3.264913404009992,1.0714647832829485
J0751+1807,55223.391447142945,-20470.711769408863,0.1272047283972113,1296.038358511395,3.295225309957484,2.9423818507937867
J0751+1807,55228.95983060907,-20724.687917979525,0.225174830275514,1422.7435022949048,3.3104707130132676,4.970391914989293
J0751+1807,55284.22696458892,-20738.519006294995,0.26541681466956335,1502.424444802215,3.4617838792825273,2.047943563712316
J0751+1807,55292.563614696155,-20586.129822170926,0.10065392517404419,1306.6039348975994,3.484608383340673,0.24735216175718477
J0751+1807,55316.948800649894,-20620.415430346126,0.13911954128695814,1353.3704533255627,3.55137138389848,5.130482632373663
J0751+1807,55322.03137250438,-20641.950725383293,0.2949525434723388,1307.297077265623,3.565286707250944,0.7494082011600369
J0751+1807,55328.485280508736,-20789.670219256055,0.29580464119905275,1528.223892395281,3.5829565443607434,2.3890311743091956
