event_name,catalog,observing_run,m1_solar,m2_solar,M_total_solar,energy_radiated,luminosity_distance_Mpc,snr,epsilon_max,final_state,mode_parity
GW150914,GWTC-2.1-confident,O1,34.6,30.0,64.5,3.0,470.0,26.0,0.30788013813439297,Klein_extrema,0
GW151012,GWTC-2.1-confident,O1,24.8,13.6,38.8,1.6999999999999955,1000.0,9.3,0.2195276922781049,Klein_deformada,0
GW170608,GWTC-2.1-confident,O2,10.6,7.8,18.5,0.8000000000000007,340.0,15.3,0.12315018296703631,Klein_relajada,-1
GW190412_053044,GWTC-2.1-confident,O3b,27.7,9.0,36.8,1.1999999999999955,720.0,19.8,0.16874034563859466,Klein_deformada,-1
GW170814,GWTC-2.1-confident,O2,30.9,24.9,56.0,2.799999999999997,610.0,17.7,0.29672944484873476,Klein_deformada,0
GW190521_030229,GWTC-2.1-confident,O3b,98.4,57.2,153.1,5.699999999999989,3310.0,14.3,0.40881616640077495,Klein_extrema,1
GW151226,GWTC-2.1-confident,O1,14.2,7.5,21.7,1.0,460.0,12.7,0.14697613460546777,Klein_relajada,-1
GW190425_081805,GWTC-2.1-confident,O3b,2.1,1.3,3.4,0.17,150.0,12.4,0.030758639127608668,Klein_relajada,-1
GW170104,GWTC-2.1-confident,O2,28.7,20.8,49.6,2.1000000000000014,1110.0,13.8,0.25121773743129533,Klein_deformada,0
GW190814_211039,GWTC-2.1-confident,O3b,23.3,2.6,25.9,0.1999999999999993,230.0,25.3,0.035886958180880564,Klein_relajada,-1
GW170818,GWTC-2.1-confident,O2,34.8,27.6,62.5,2.799999999999997,1080.0,12.0,0.29672944484873476,Klein_deformada,0
GW190413_134308,GWTC-2.1-confident,O3b,51.3,30.4,81.3,3.299999999999997,3800.0,10.6,0.32193898866460297,Klein_extrema,1
GW170823,GWTC-2.1-confident,O2,38.3,29.0,67.0,3.1000000000000014,1970.0,12.2,0.3117866223246802,Klein_extrema,1
GW190413_052954,GWTC-2.1-confident,O3b,33.7,24.2,58.0,2.5,3320.0,9.0,0.2785618683954423,Klein_deformada,0
GW190408_181802,GWTC-2.1-confident,O3b,24.8,18.5,43.4,2.0,1540.0,14.6,0.24374085067498738,Klein_deformada,0
GW190503_185404,GWTC-2.1-confident,O3b,41.3,28.3,69.4,2.9000000000000057,1520.0,12.2,0.3023918486195231,Klein_extrema,0
GW190421_213856,GWTC-2.1-confident,O3b,42.0,32.0,73.6,3.0999999999999943,2590.0,10.7,0.3117866249203234,Klein_extrema,1
GW170809,GWTC-2.1-confident,O2,34.1,24.2,58.5,2.799999999999997,1070.0,12.8,0.29672944484873476,Klein_deformada,0
